iterations,slope,intercept
0,1260.5282197916667,26.532071875
500,4120.2154841802885,2926.8777440165113
1000,4075.9387733300387,5745.591697639011
1500,4032.220530987774,8528.752807658484
2000,3989.053713110059,11276.809507193359
2500,3946.431364500989,13990.204573210849
3000,3904.3466176915413,16669.37519786872
3500,3862.79269183307,19314.753058957245
4000,3821.7628916047424,21926.76438945287
4500,3781.25060613477,24505.830046194307
5000,3741.249307935239,27052.365577692533
5500,3701.752551850376,29566.781291085554
6000,3662.753974018085,32049.48231824856
6500,3624.247290844572,34500.86868107027
7000,3586.2262979919146,36921.335355906005
7500,3548.684869378399,39311.27233721731
8000,3511.616956191454,41671.064700409996
8500,3475.0165859130525,44001.0926638783
9000,3438.8778613573913,46301.73165026741
9500,3403.1949597207213,48573.352346962754
10000,3367.96213164315,50816.32076581659
10500,3333.1737002822906,53030.99830212098
11000,3298.824060398578,55217.7417928377
11500,3264.907677452144,57376.903574092255
12000,3231.4190867110606,59508.83153794447
12500,3198.35289237085,61613.86918844147
13000,3165.703766685094,63692.355696964456
13500,3133.466449106998,65744.62595687753
14000,3101.6357454418066,67771.0106374865
14500,3070.206527009879,69771.83623731816
15000,3039.173729820358,71747.42513672594
15500,3008.5323537552185,73698.0956498342
16000,2978.2774617636514,75624.16207582511
16500,2948.4041790665724,77525.93474958035
17000,2918.9076923711837,79403.72009168337
17500,2889.783249095446,81257.82065779048
18000,2861.026156602313,83088.53518738048
18500,2832.6317814436497,84896.15865188779
19000,2804.595548613661,86680.98230223023
19500,2776.912940811761,88443.29371573566
20000,2749.5794977147234,90183.37684247798
20500,2722.5908152580164,91901.51205102807
21000,2695.942544926208,93597.97617362787
21500,2669.6303930523177,95273.04255079421
22000,2643.650120125999,96926.9810753611
22500,2617.9975401104557,98560.05823596551
23000,2592.66851976798,100172.53715998487
23500,2567.658977993984,101764.67765593294
24000,2542.9648851594343,103336.73625532196
24500,2518.58226246159,104888.96625399493
25000,2494.507181282917,106421.61775293837
25500,2470.7357625581008,107934.93769857894
26000,2447.2641761490327,109429.16992257268
26500,2424.0886402276865,110904.55518109197
27000,2401.205420666775,112361.33119361695
27500,2378.610830438093,113799.73268123805
28000,2356.3012290184547,115219.99140447467
28500,2334.2730218031093,116622.33620061778
29000,2312.522659526584,118006.99302060019
29500,2291.0466376907866,119374.18496540385
30000,2269.8414960003674,120724.1323220059
30500,2248.9038178051833,122057.05259887174
31000,2228.2302295497843,123373.16056100173
31500,2207.8174002298615,124672.66826453424
32000,2187.6620408555386,125955.78509091338
32500,2167.760903921445,127222.71778062482
33000,2148.1107828834606,128473.67046650675
33500,2128.708511642069,129708.84470664052
34000,2109.5509640322084,130928.43951682722
34500,2090.6350533195987,132132.6514026523
35000,2071.9577317033772,133321.67439114835
35500,2053.515989825034,134495.70006205692
36000,2035.3068562835276,135654.9175786971
36500,2017.327397156523,136799.51371844372
37000,1999.5747155276667,137929.6729028221
37500,1982.045951019837,139045.57722722166
38000,1964.738279334252,140147.40649023704
38500,1947.6489117954134,141235.33822263754
39000,1930.7750949017884,142309.54771597128
39500,1914.1141098821565,143370.20805080887
40000,1897.6632722575537,144417.4901246304
40500,1881.419931408726,145451.56267936213
41000,1865.381470149062,146472.5923285642
41500,1849.545304302905,147480.74358427542
42000,1833.9088822891702,148476.17888352138
42500,1818.4696847102314,149459.05861448596
43000,1803.2252239459958,150429.5411423533
43500,1788.1730437530687,151387.78283482546
44000,1773.310718869015,152333.93808731565
44500,1758.6358546215743,153268.1593478261
45000,1744.1460865428326,154190.59714151043
45500,1729.8390799882552,155101.4000949265
46000,1715.7125297605116,156000.71495998418
46500,1701.7641597380525,156888.68663759073
47000,1687.9917225083861,157765.45820099674
47500,1674.3929990059416,158631.17091885052
48000,1660.96579815454,159485.9642779585
48500,1647.7079565143858,160329.97600575848
49000,1634.617337933433,161163.34209251413
49500,1621.6918332032412,161986.19681322333
50000,1608.929359719114,162798.6727492547
50500,1596.3278611445505,163600.90080970866
51000,1583.885307079918,164393.01025251034
51500,1571.5996927352994,165175.12870523648
52000,1559.4690386074892,165947.38218567843
52500,1547.4913901610284,166709.8951221477
53000,1535.6648175133023,167462.79037352314
53500,1523.9874151235751,168206.1892490474
54000,1512.457301485987,168940.21152787123
54500,1501.0726188263586,169664.97547835507
55000,1489.831532802904,170380.5978771224
55500,1478.7322322106406,171087.19402787703
56000,1467.7729286895778,171784.87777998054
56500,1456.951856436564,172473.7615467962
57000,1446.2672719207856,173153.95632380084
57500,1435.7174536028174,173825.5717064704
58000,1425.3007016572756,174488.71590793622
58500,1415.015337698899,175143.4957764232
59000,1404.8597045121535,175790.01681246332
59500,1394.8321657841982,176428.38318589545
60000,1384.9311058412497,177058.69775264888
60500,1375.1549293882256,177681.06207131775
61000,1365.5020612517608,178295.57641952115
61500,1355.9709461263603,178902.33981006325
62000,1346.5600483238215,179501.45000688542
62500,1337.2678515258012,180093.00354081823
63000,1328.0928585394884,180677.09572513553
63500,1319.033591056386,181253.82067091085
64000,1310.0885894141218,181823.27130218068
64500,1301.2564123612435,182385.53937091804
65000,1292.5356368250173,182940.7154718147
65500,1283.9248576821306,183488.88905687857
66000,1275.422687532275,184030.1484498476
66500,1267.027756474643,184564.58086041838
67000,1258.7387118871773,185092.27239829957
67500,1250.554218208633,185613.3080870858
68000,1242.4729567233915,186127.7718779569
68500,1234.493625348978,186635.74666320474
69000,1226.6149384262824,187137.3142895882
69500,1218.835626512392,187632.5555715214
70000,1211.154436176061,188121.55030409477
70500,1203.570129795754,188604.37727593162
71000,1196.0814853602212,189081.11428188367
71500,1188.6872962716268,189551.83813556455
72000,1181.3863711511285,190016.6246817266
72500,1174.1775336469082,190475.54880848178
73000,1167.0596222446513,190928.68445936713
73500,1160.0314900803842,191376.10464525953
74000,1153.0920047556917,191817.88145613932
74500,1146.2400481552625,192254.0860727055
75000,1139.4745162667393,192684.78877784451
75500,1132.794319002832,193110.0589679544
76000,1126.1983800256703,193529.96516412712
76500,1119.685636573397,193944.57502318764
77000,1113.255039288918,194353.95534859604
77500,1106.9055520508145,194758.1721012117
78000,1100.6361518064446,195157.29040991844
78500,1094.4458284070638,195551.37458212094
79000,1088.3335844450728,195940.4881141057
79500,1082.2984350933275,196324.69370127082
80000,1076.3394079464447,196704.05324822868
80500,1070.4555428641359,197078.62787877946
81000,1064.645891816485,197448.47794576111
81500,1058.9095187312212,197813.663040772
82000,1053.2454993429005,198174.2420037723
82500,1047.652921043945,198530.27293256708
83000,1042.130882737649,198881.813192164
83500,1036.6784946929654,199228.9194240179
84000,1031.2948784011517,199571.64755515681
84500,1025.979166434212,199910.0528071939
85000,1020.7305023051592,200244.18970522308
85500,1015.5480403299821,200574.11208660676
86000,1010.4309454914178,200899.87310964783
86500,1005.3783933044003,201221.52526215572
87000,1000.389569683184,201539.12036990534
87500,995.4636708102378,201852.7096049835
88000,990.5999030066836,202162.34349403696
88500,985.7974826044178,202468.0719264133
89000,981.0556358198698,202769.94416219776
89500,976.3735986293078,203068.00884015116
90000,971.7506166457251,203362.31398554787
90500,967.1859449973444,203652.90701791
91000,962.6788482075268,203939.83475865284
91500,958.2286000763194,204223.14343862553
92000,953.8344835634314,204502.87870556104
92500,949.4957906727124,204779.08563143035
93000,945.2118223380571,205051.80871970605
93500,940.9818883107862,205321.09191253164
94000,936.8053070484317,205586.9785978018
94500,932.6814056049053,205849.51161615417
95000,928.6095195220984,206108.73326787053
95500,924.5889927227961,206364.6853196938
96000,920.6191774049854,206617.4090115566
96500,916.69943393748,206866.94506322598
97000,912.8291307568395,207113.3336808656
97500,909.0076442656343,207356.61456351224
98000,905.2343587319466,207596.82690947398
98500,901.5086661901975,207834.00942264334
99000,897.8299663431419,208068.20031873666
99500,894.1976664651767,208299.4373314495
100000,890.6111813068316,208527.75771853694
100500,887.0699330004794,208753.19826781613
101000,883.5733509672108,208975.79530309487
101500,880.1208718249102,209195.5846900235
102000,876.7119392974913,209412.6018418732
102500,873.3460041252439,209626.88172524332
103000,870.0225239763599,209838.45886569374
103500,866.7409633595383,210047.36735330874
104000,863.5007935377112,210253.64084818918
104500,860.3014924428262,210457.31258587746
105000,857.1425445917741,210658.4153827099
105500,854.0234410032995,210856.98164110616
106000,850.9436791159982,211053.0433547897
106500,847.9027627073526,211246.63211394212
107000,844.9002018137614,211437.779110294
107500,841.9355126516173,211626.5151421495
108000,839.008217539325,211812.87061935052
108500,836.1178448203698,211996.87556817438
109000,833.2639287873087,212178.55963617263
109500,830.4460096067289,212357.95209694834
110000,827.6636332451749,212535.08185487156
110500,824.9163513959544,212709.97744973912
111000,822.2037214069513,212882.66706136987
111500,819.5253062092831,213053.17851414686
112000,816.8806742468731,213221.53928150045
112500,814.269399406931,213387.77649033428
113000,811.6910609512851,213551.91692539662
113500,809.1452434485849,213713.98703359658
114000,806.631536707396,213874.01292826314
114500,804.1495357100702,214032.0203933553
115000,801.6988405475043,214188.03488761536
115500,799.2790563547208,214342.0815486698
116000,796.8897932472127,214494.18519708185
116500,794.5306662581586,214644.37034034837
117000,792.2012952763724,214792.66117685
117500,789.9013049850527,214939.08159975053
118000,787.6303248013417,215083.65520084472
118500,785.3879888165965,215226.40527436053
119000,783.1739357374175,215367.3548207135
119500,780.9878088274558,215506.52655021116
120000,778.8292558499363,215643.94288671244
120500,776.6979290108865,215779.62597124142
121000,774.5934849031175,215913.5976655538
121500,772.5155844508906,216045.8795556594
122000,770.4638928552592,216176.49295530183
122500,768.4380795401527,216305.45890939084
123000,766.4378180991104,216432.79819739325
123500,764.4627862426735,216558.53133668212
